0000000001,0000000000,000120,-00017,-00144,-00292,-00049,000306,030298,-24428,-05945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000002,0000000261,000059,-00014,-00061,-00290,-00038,000314,031325,-22224,-09091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000003,0000000521,000059,-00006,-00124,-00274,-00008,000323,031873,-19820,-12010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000004,0000000782,000247,-00004,-00085,-00262,-00006,000342,032332,-17088,-15195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000005,0000001042,000251,-00015,000028,-00253,000004,000344,032331,-14438,-17876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000006,0000001302,000487,-00015,-00106,-00239,000027,000364,031981,-11786,-20168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000007,0000001563,000278,-00020,-00055,-00227,000046,000360,031351,-08782,-22517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000008,0000001823,000368,-00021,-00186,-00238,000042,000368,030213,-05734,-24482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000009,0000002084,000132,-00011,000010,-00247,000035,000372,028869,-02617,-26287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000010,0000002344,000225,-00008,-00202,-00241,000034,000372,027321,000601,-27992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000011,0000002604,000194,-00014,000053,-00232,000037,000373,025592,003730,-29480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000012,0000002865,000287,-00006,-00030,-00232,000059,000379,023564,006920,-30674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000013,0000003125,000331,-00015,-00157,-00231,000068,000378,021335,009982,-31519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000014,0000003386,000255,-00017,-00009,-00223,000074,000381,018924,012917,-32062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000015,0000003646,000331,-00023,-00164,-00223,000083,000391,016247,015859,-32380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000016,0000003907,000253,-00032,-00169,-00227,000086,000388,013524,018473,-32276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000017,0000004167,000037,-00030,-00169,-00251,000074,000376,010694,020867,-31849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000018,0000004427,000098,-00022,-00053,-00242,000073,000378,007714,022997,-30999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000019,0000004688,000497,-00021,-00154,-00229,000080,000378,004579,024941,-29743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
