1,0,12765,40813,44093,14989,14930,50887,65534,438,560,15567,65534,14430,14933,50888,11550,25347,64971,50349,23308,41359,65480,3606,2908,19623,1373,15353,49771,65480,50922,23269,41379,19568,1846,38876,57584,29129,27224,25005,4853,4696,4869,29344,27135,25367,1554,39547,57135,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2,110,13793,40110,44222,16146,14920,50887,65534,438,560,16738,65534,15573,14923,50889,12599,24188,65187,49183,23363,41358,65480,3606,2908,19676,1373,16530,48588,65480,49770,23325,41376,19617,2321,37532,58449,29020,27218,24930,4853,4696,4869,29238,27129,25290,1985,38211,58020,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
3,220,14855,39420,44306,17324,14911,50887,65534,438,560,17936,65534,16737,14914,50889,13683,23049,65351,47985,23418,41359,65480,3606,2908,19742,1373,17737,47377,65480,48588,23380,41376,19675,2849,36183,59277,28911,27210,24857,4853,4696,4869,29129,27123,25217,2464,36861,58864,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
4,330,15949,38744,44359,18545,14902,50886,65534,438,560,19159,65534,17936,14905,50889,14801,21934,65457,46762,23471,41363,65480,3606,2908,19796,1373,18971,46142,65480,47376,23434,41378,19739,3429,34827,60051,28794,27196,24781,4853,4696,4869,29015,27112,25141,2997,35510,59667,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
5,440,17073,38081,44372,19772,14893,50885,65534,438,560,20405,65534,19156,14896,50888,15949,20840,65504,45513,23523,41369,65480,3606,2908,19849,1373,20231,44882,65480,46142,23486,41384,19791,4062,33468,60778,28672,27178,24704,4853,4696,4869,28893,27095,25062,3581,34151,60414,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
6,550,18230,37437,44351,21033,14885,50884,65534,438,560,21675,65534,20404,14887,50886,17127,19769,65503,44243,23573,41378,65480,3606,2908,19910,1382,21515,43596,65480,44882,23537,41392,19849,4740,32102,61461,28555,27164,24635,4853,4696,4869,28772,27078,24989,4209,32787,61120,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
7,660,19407,36806,44291,22309,14876,50882,65534,438,560,22959,65534,21683,14879,50885,18332,18727,65445,42948,23621,41390,65480,3606,2908,19978,1382,22824,42296,65480,43596,23587,41402,19916,5468,30743,62094,28436,27149,24569,4853,4696,4869,28654,27065,24921,4882,31423,61784,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
8,770,20605,36194,44193,23603,14868,50879,65534,438,560,24261,65534,22962,14871,50883,19557,17716,65326,41640,23668,41404,65480,3606,2908,20032,1382,24147,40977,65480,42295,23634,41415,19976,6244,29390,62670,28312,27128,24501,4853,4696,4869,28533,27048,24853,5600,30065,62389,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
9,880,21824,35599,44048,24917,14861,50877,65534,438,560,25578,65534,24255,14863,50880,20806,16730,65147,40312,23713,41421,65480,3606,2908,20082,1382,25489,39642,65480,40978,23680,41431,20026,7067,28039,63198,28188,27107,24435,4853,4696,4869,28407,27025,24785,6365,28713,62942,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
10,990,23064,35023,43877,26238,14854,50873,65534,438,560,26908,65534,25580,14856,50877,22079,15775,64923,38970,23756,41441,65480,3606,2908,20139,1382,26847,38295,65480,39642,23724,41449,20076,7933,26694,63678,28072,27093,24383,4853,4696,4869,28285,27007,24724,7175,27363,63447,65535,65535,65535,0,57864,65535,17596,0,0,0,0,0,0,65535,0,65535,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
