0000000001,0000000000,000795,002328,-00978,016219,-14580,002418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000002,0000000260,001664,-08125,-00976,016141,-14744,002776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000003,0000000520,001757,-07518,-01115,017079,-14125,000913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000004,0000000781,001754,-05692,-01247,017998,-13319,-01202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000005,0000001041,001687,-03443,-01372,018817,-12402,-03370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000006,0000001302,001623,-01349,-01474,019492,-11379,-05551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000007,0000001562,001538,000713,-01559,020007,-10247,-07679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000008,0000001822,001461,002746,-01634,020323,-09013,-09716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000009,0000002083,001338,004842,-01692,020403,-07662,-11642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000010,0000002343,001202,006939,-01729,020224,-06216,-13440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000011,0000002604,001060,008896,-01748,019820,-04701,-15074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000012,0000002864,000944,010608,-01791,019214,-03167,-16570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000013,0000003125,000798,012485,-01793,018436,-01629,-17883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000014,0000003385,000632,014176,-01772,017524,-00109,-19012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000015,0000003645,000445,015809,-01728,016471,001406,-19991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000016,0000003906,000255,017207,-01670,015273,002925,-20809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000017,0000004166,000122,018349,-01615,013917,004456,-21471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000018,0000004427,-00031,019226,-01539,012400,005971,-21951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000019,0000004687,-00208,019947,-01432,010733,007442,-22221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000020,0000004947,-00390,020586,-01293,008947,008846,-22248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000021,0000005208,-00568,021165,-01165,007080,010141,-22004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
