"Time stamp";"Relative time";"Fault number";"Entry number";"Functions structure";"Name";"Value";"Quality";"Cause";"Number";
"13.04.2026  09:37:16.258";"00:00:00:00.001";"";"10";"Auto trf. diff. 1:87T diff. prot. 1:Group indicat.";"Pickup";"phs A";"good (process)";"Data change";"931.1691.4501.55";
"13.04.2026  09:37:16.257";"00:00:00:00.000";"";"9";"Auto trf. diff. 1:Group indicat.";"Pickup";"phs A";"good (process)";"Data change";"931.4501.55";
"13.04.2026  09:37:16.257";"00:00:00:00.000";"";"8";"Auto trf. diff. 1:87T diff. prot. 1:I-DIFF";"Blocked by 2.Harmon.";"phs A";"good (process)";"Data change";"931.1691.11041.305";
"13.04.2026  09:37:16.257";"00:00:00:00.000";"";"7";"Auto trf. diff. 1:87T diff. prot. 1:I-DIFF";"Blocked by inrush";"on";"good (process)";"Data change";"931.1691.11041.304";
"13.04.2026  09:37:16.257";"00:00:00:00.000";"";"6";"Auto trf. diff. 1:87T diff. prot. 1:I-DIFF";"Pickup";"phs A";"good (process)";"Data change";"931.1691.11041.55";
"13.04.2026  09:37:16.257";"00:00:00:00.000";"";"5";"Recording:Fault recorder:Control";"Fault number";"149";"good (process)";"Data change";"81.791.2761.310";
"13.04.2026  09:37:16.257";"00:00:00:00.000";"";"4";"Recording:Fault recorder:Control";"Recording started";"on";"good (process)";"Data change";"81.791.2761.311";
"13.04.2026  09:37:16.253";"-00:00:00:00.004";"";"3";"Auto trf. diff. 1:87T diff. prot. 1:I-DIFF";"Slope 1";"0.30";"good (process)";"Data update";"931.1691.11041.301";
"13.04.2026  09:37:16.237";"-00:00:00:00.020";"";"2";"DJ289kV:Circuit break.";"Position";"SPN closed";"good (process)";"Data change";"201.4261.58";
"13.04.2026  09:37:16.234";"-00:00:00:00.023";"";"1";"DJ289kV:Circuit break.";"Position";"SPN intermediate";"good (process)";"Data change";"201.4261.58";

